Ranking,Title,Type,Aired,Episodes,Duration,Score,Source,Genres,Themes,Licensors,Producers,Rating,Status,Studios,Members,Duaration,Quantity Genres,Quantity Theme
56,Mushishi,TV,"Oct 23, 2005 to Jun 19, 2006",26,25 min. per ep.,8.67,Manga,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural","Adult Cast,Historical,Iyashikei",Funimation,"Avex Entertainment,Marvelous,SKY Perfect Well Think,Delfi Sound",PG,Finished Airing,Artland,"741,563",650.0,5,3
57,Violet Evergarden,TV,"Jan 11, 2018 to Apr 5, 2018",13,24 min. per ep.,8.67,Light novel,"Drama,Fantasy,Slice of Life",None,Funimation,"Lantis,Pony Canyon,Rakuonsha,ABC Animation",PG,Finished Airing,Kyoto Animation,"1,509,929",312.0,3,0
58,Shigatsu wa Kimi no Uso,TV,"Oct 10, 2014 to Mar 20, 2015",22,22 min. per ep.,8.66,Manga,"Drama,Romance","Music,School",Aniplex of America,"Aniplex,Dentsu,Kodansha,Fuji TV,Kyoraku Industrial Holdings",PG,Finished Airing,A-1 Pictures,"1,940,403",484.0,2,2
59,Hajime no Ippo: New Challenger,TV,"Jan 7, 2009 to Jul 1, 2009",26,23 min. per ep.,8.66,Manga,Sports,Combat Sports,add some,"VAP,Kodansha,Nippon Television Network",PG,Finished Airing,Madhouse,"243,037",598.0,1,1
60,Howl no Ugoku Shiro,Movie,20-Nov-04,1,1 hr. 59 min.,8.66,Novel,"Adventure,Drama,Fantasy,Romance",None,Disney Platform Distribution,"d-rights,Tokuma Shoten",G ,Finished Airing,Studio Ghibli,"1,131,884",119.0,4,0
61,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,16-Oct-20,1,1 hr. 56 min.,8.66,Manga,"Action,Fantasy",Historical,Aniplex of America,"Aniplex,Shueisha",R ,Finished Airing,ufotable,"1,155,273",116.0,2,1
62,Haikyuu!! Second Season,TV,"Oct 4, 2015 to Mar 27, 2016",25,24 min. per ep.,8.65,Manga,Sports,"School,Team Sports",Sentai Filmworks,"Dentsu,Mainichi Broadcasting System,Movic,Sony Music Entertainment,TOHO animation,Shueisha",PG,Finished Airing,Production I.G,"1,242,908",600.0,1,2
63,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,"Apr 11, 2020 to Jun 27, 2020",12,24 min. per ep.,8.65,Manga,Comedy,"Psychological,Romantic Subtext,School",Aniplex of America,"Aniplex,Mainichi Broadcasting System,Shueisha,JR East Marketing & Communications",PG,Finished Airing,A-1 Pictures,"1,083,229",288.0,1,3
64,Natsume Yuujinchou Shi,TV,"Jan 3, 2012 to Mar 27, 2012",13,24 min. per ep.,8.65,Manga,"Drama,Slice of Life,Supernatural","Iyashikei,Mythology","NIS America, Inc.","TV Tokyo,Aniplex,Nihon Ad Systems,Hakusensha,Sony Music Entertainment",PG,Finished Airing,Brain's Base,"223,198",312.0,3,2
65,One Piece,TV,"Oct 20, 1999 to ?",0,24 min.,8.65,Manga,"Action,Adventure,Fantasy",None,Funimation,"Fuji TV,TAP,Shueisha",PG,Currently Airing,Toei Animation,"1,889,011",24.0,3,0
66,Evangelion: 3.0+1.0 Thrice Upon a Time,Movie,8-Mar-21,1,2 hr. 35 min.,8.64,Original,"Action,Drama,Sci-Fi","Mecha,Psychological",add some,KlockWorx,PG,Finished Airing,Khara,"293,698",155.0,3,2
